pdf_path	page_no	gold_text
data\input_pdfs\Albayrak_2002_ArAn5_listesi.pdf	1	"Kt. 88/k 71 (9 x 5,5 x 1,6 cm. siyah renkli )
Öy. 1 i-nu-mi e-mu-ni nu-sé-ri-bu ki-ma
is ri im r2/31' GfN 15 SE a-na mu-sd-ri-im
cis-qd1 1/4 GfN a-na sa-hi-re-en6
2/3 GiN 15 SE a-na 3 ki-ra-tim ds-01
5 1/4 GfN a-na si-ri-im cıs'-qdl-ma
e-mu-ni ù e-ba-ru-tù-su a-s(-i
e-mu-ni ù e-ba-ru-tù-su a-s(-ma
1 1/2 GiN KÙ.BABBAR »x« ga-me-er i-nu-mi is-tù
4V[a-a]h-su-sa-na i-li-kà-ni 1/4 GfN a-no sa-hi-re- en6 1/2 GiN a-na 2 ki-ri-im ds-qûl
1/4 GİN a-na si-ri-im d§-01-ma e-mu-ni
ù e-ba-ra-tù-su a-st-i 4 1/2 GiN a-na
2 na-ru-uq it 1 DUG bu-uq-lim ds-qul
4 GİN a-na 2 na-ru-uq ba-pt-ri-im
15 ds-giıl 7 GİN LA 15 SE a-na 6 na-ru-uq
se-am ds-giıl 6 2/3 GIN a-na 4 na-ru-uq
ar-sa-tim d§-gıil 2 1/6 GiN a-na hi-im-tim
d§-giti 1 1/3 GiN a-na dı-is-pi-im ds-giıl
2 1/4 GiN a-na pd-ni-ri sa al-pi-im
20 it e-me-ri d§-gıil 15 GiN a-na al-pi-im
d§-giti 2/3 GİN a-na UDU ds-gıil 2/3 GİN 15 SE
a-na UDU-ma ds-giıl 1/6 GiN a-na UDU
[x] GIN a-na UDU ds-qûl 1 GiN a-na e-ri-qt-im
[x] LA 1/6 GİN a-na tv),-ri-im a-na sa ti-ib-nim
25 [dss-qı 1 GU,' ar-l'im û e-me-ri-<im> ds-qûl
[x] GIN a-na 2 mas-ke sa-pd-tt-im
[a-q]ul 3 1/6 GiN a-na 2 e-ri-qé-[ en6 ]
[sa e-.sf i ds-q~ıl 1 GİN Lk 7 1/5 SE
[a-na ]-ra-ni ds-giıl 2 GiN [a-na]
30 [e]-ri-qt-im sa kà-nu-wa
[x] GIN a-na a-ld-ni ù ki-ra-ni
[x+]5 GİN a-na 30 sa-hi-ra-tim
[x+]4 GIN a-na i.GİS d§-gıii 1/4
[G]İN a-na um-zi-im 1/3 GiN a-na su-um-ki
35 d§-gıil 1/2 GiN a-na 1 DUG ha-d§-1d-tim
ds-01 1 LA 1/6 GiN a-na-ru-uq pd-e
ds-giıl 1/6 GiN a-kà-nu-wa sa ki-ra-tim
1 GiN a-na zi-re ma-ld-hi û ha-ba-sa-tim
1/4 GfN a-na hi-im-tim bi4-is-tim ds-giıl
40 1/2 GIN LA7 1/2 SE a-na e-si ds-qul 22 1/2 SE
a-a-kà-nu-wa ds-giıl sa-ku-kam a-[x]-su
a-dt-in 1/4 GIN a-na ak-li-i[m x ]-tim
15 SE a-qd-ni 2/3 GiN 15 SE a-na ku[-x-(x)-t]im
d§-gıil 15 SE a-na ki-ki-a-ni ds-giıl
45 5/6 ma-na a-na 5 ku-ta-ni ds-giıl
4 1/2 GiN a-na na-ah-ld-pd-tt-sa ds-giıl
4 GİN a-na si-it-ri-sa ds-qûl
3 GiN a-na st-it-ri d§-01-ma a-ma-tim
ar-ku-us4 1/2 GİN a-na 2 ki-re-en6
50 ds-giıl 1/3 GİN a-na sa-hi-re-en6 ds-giıl
e-mu-ni it e-ba-ru-<tù>-su a-st-i 2/3 GİN 15 SE a-na 3 ki-ra-tim 1/6 GİN
a-na e-şi 1/4 GİN a-na sa-hi-re-en6
Ük. 2/3 GİN 15 SE a-na §é-ne-en6 ds-quI-ma
55 i-sa-p6-<ar'> be-el sa-'x1 e-mu-ni û
e-ba-ru-tù-<su> a-st-i e-mu-ni ù

Sk. e-ba-ru-tù-su a-st-ma 2 GİN KÙ.BABBAR ga-me-er -+

1 1/2 GİN a-na 5[+x ]
ds-giıl 1/3 GiN a-na e-ş 1/6 GiN a-na a-ld-ni -+
15 SE a-sii-[ ]
d§-q141 e-mu-ni ù e-ba-ru-tù-su i-sa-pd-ar a-st-ma -+
[x GIN (x SE) a-na]

60 7 ki-ra-tim 1 1/4 GİN a-na UDU 1/4 GIN a-e-,si --+

15 SE a-sa-[... ds-gtiıl]
a-ha-<at>-ni qd-qd-sà a-na Istar ta-aq-lu-up"
data\input_pdfs\Albayrak_2002_ArAn5_listesi.pdf	3	"Kt. 88/k 71 (9 x 5,5 x 1,6 cm. siyah renkli )
Öy. 1 i-nu-mi e-mu-ni nu-sé-ri-bu ki-ma
is ri im r2/31' GfN 15 SE a-na mu-sd-ri-im
cis-qd1 1/4 GfN a-na sa-hi-re-en6
2/3 GiN 15 SE a-na 3 ki-ra-tim ds-01
5 1/4 GfN a-na si-ri-im cıs'-qdl-ma
e-mu-ni ù e-ba-ru-tù-su a-s(-i
e-mu-ni ù e-ba-ru-tù-su a-s(-ma
1 1/2 GiN KÙ.BABBAR »x« ga-me-er i-nu-mi is-tù
4V[a-a]h-su-sa-na i-li-kà-ni 1/4 GfN a-no sa-hi-re- en6 1/2 GiN a-na 2 ki-ri-im ds-qûl
1/4 GİN a-na si-ri-im d§-01-ma e-mu-ni
ù e-ba-ra-tù-su a-st-i 4 1/2 GiN a-na
2 na-ru-uq it 1 DUG bu-uq-lim ds-qul
4 GİN a-na 2 na-ru-uq ba-pt-ri-im
15 ds-giıl 7 GİN LA 15 SE a-na 6 na-ru-uq
se-am ds-giıl 6 2/3 GIN a-na 4 na-ru-uq
ar-sa-tim d§-gıil 2 1/6 GiN a-na hi-im-tim
d§-giti 1 1/3 GiN a-na dı-is-pi-im ds-giıl
2 1/4 GiN a-na pd-ni-ri sa al-pi-im
20 it e-me-ri d§-gıil 15 GiN a-na al-pi-im
d§-giti 2/3 GİN a-na UDU ds-gıil 2/3 GİN 15 SE
a-na UDU-ma ds-giıl 1/6 GiN a-na UDU
[x] GIN a-na UDU ds-qûl 1 GiN a-na e-ri-qt-im
[x] LA 1/6 GİN a-na tv),-ri-im a-na sa ti-ib-nim
25 [dss-qı 1 GU,' ar-l'im û e-me-ri-<im> ds-qûl
[x] GIN a-na 2 mas-ke sa-pd-tt-im
[a-q]ul 3 1/6 GiN a-na 2 e-ri-qé-[ en6 ]
[sa e-.sf i ds-q~ıl 1 GİN Lk 7 1/5 SE
[a-na ]-ra-ni ds-giıl 2 GiN [a-na]
30 [e]-ri-qt-im sa kà-nu-wa
[x] GIN a-na a-ld-ni ù ki-ra-ni
[x+]5 GİN a-na 30 sa-hi-ra-tim
[x+]4 GIN a-na i.GİS d§-gıii 1/4
[G]İN a-na um-zi-im 1/3 GiN a-na su-um-ki
35 d§-gıil 1/2 GiN a-na 1 DUG ha-d§-1d-tim
ds-01 1 LA 1/6 GiN a-na-ru-uq pd-e
ds-giıl 1/6 GiN a-kà-nu-wa sa ki-ra-tim
1 GiN a-na zi-re ma-ld-hi û ha-ba-sa-tim
1/4 GfN a-na hi-im-tim bi4-is-tim ds-giıl
40 1/2 GIN LA7 1/2 SE a-na e-si ds-qul 22 1/2 SE
a-a-kà-nu-wa ds-giıl sa-ku-kam a-[x]-su
a-dt-in 1/4 GIN a-na ak-li-i[m x ]-tim
15 SE a-qd-ni 2/3 GiN 15 SE a-na ku[-x-(x)-t]im
d§-gıil 15 SE a-na ki-ki-a-ni ds-giıl
45 5/6 ma-na a-na 5 ku-ta-ni ds-giıl
4 1/2 GiN a-na na-ah-ld-pd-tt-sa ds-giıl
4 GİN a-na si-it-ri-sa ds-qûl
3 GiN a-na st-it-ri d§-01-ma a-ma-tim
ar-ku-us4 1/2 GİN a-na 2 ki-re-en6
50 ds-giıl 1/3 GİN a-na sa-hi-re-en6 ds-giıl
e-mu-ni it e-ba-ru-<tù>-su a-st-i 2/3 GİN 15 SE a-na 3 ki-ra-tim 1/6 GİN
a-na e-şi 1/4 GİN a-na sa-hi-re-en6
Ük. 2/3 GİN 15 SE a-na §é-ne-en6 ds-quI-ma
55 i-sa-p6-<ar'> be-el sa-'x1 e-mu-ni û
e-ba-ru-tù-<su> a-st-i e-mu-ni ù

Sk. e-ba-ru-tù-su a-st-ma 2 GİN KÙ.BABBAR ga-me-er -+

1 1/2 GİN a-na 5[+x ]
ds-giıl 1/3 GiN a-na e-ş 1/6 GiN a-na a-ld-ni -+
15 SE a-sii-[ ]
d§-q141 e-mu-ni ù e-ba-ru-tù-su i-sa-pd-ar a-st-ma -+
[x GIN (x SE) a-na]

60 7 ki-ra-tim 1 1/4 GİN a-na UDU 1/4 GIN a-e-,si --+

15 SE a-sa-[... ds-gtiıl]
a-ha-<at>-ni qd-qd-sà a-na Istar ta-aq-lu-up"
data\input_pdfs\Albayrak_2003_ArAn 6-1_Kanes Karum unun bir mektubu.pdf	2	"Asur Ticaret Kolonileri Devrinde Asur'un Anadolu'daki önemli kurumları olan kâruni-daireleri, tüccarlaria ve yerel yönetimlerle ilgili önemli belgelerin bir nüshası nı muhafaza etmiş olmalıdır. Metinlerde tuppu sa kârinı ""kârunıun tableti"", inci/ana bét kârim "" kârum evin(d)e"" gibi ifadeler sı kça geçmektedir.. Ancak kazalarda, idari bir kurum olarak, kâruni-dâiresinin fizîken varlığına işaret eden mimari bir kalı ntıya henüz rastlanmamıştı r. Mimari buluntularin eksikliği, gerçekten böyle bir kurumun- var olup olmadığı konusundaki tartışmaları devam ettirse de, belgelerde zikredilen bazi ifadeler Asur Ticaret Kolonileri Çağında, tüccarların ticarî ve idari konularda yardim aldı kları bir kâruni-dâiresinin varlığını açikça ortaya koymaktadir. Örneğin aşağıda bazi satırlarını verdiğimiz Kt. o/k 67 metninde bu konuda dikkat çekici bilgiler verilmektedir: 3).......... a-ma là 4ité-' eri -ti-kà a-na 5t kà•-ri-im né-ru-ub-nıa 6)lup-pu-e 7a kà-ri-im 81né-mu-ur-ma 9)su-um-kà mi-ma 10)1éz lâ pi-it ""Senin haberin gereğince kâruni-dâiresine girdik ve kârumun belgelerini kontrol ettik. Senin adin hiç (bir yerde) kaydedilmemiştir!"". Burada söylenenler, fïzîken bir kârum-dâiresinin olduğunu ve orada çeşitli belgelerin yazı lı p, korunduğunu çok açik bir şekilde ortaya koymaktadı r,.5 Aşağida işlediğimiz, Kültepe'de 1988 yili kazı larında bulunmuş olan, Kt. 88/k 963 envanter numarali mektup6, muhtemelen, ayni yı l ele geçen tabletler arası nda kendisine ait bir çok ticarî yazışma bulunan Assur-rabi adli tüccarı n a rşivindendir ."
data\input_pdfs\Albayrak_2003_ArAn6_karum.pdf	1	"Kani (Kültepe) şehri, M.Ö 2. bin başlarindan itibaren Eski Anadolu'nun en önemli siyasi ve ticarî merkezi olma özelliğini kazanmiştir. Hâlen kazı ları n devam ettiği bu yerleşim yerinde, büyük çoğunluğu çeşitli ticarî konular içeren, yirmi binden fazla Eski Asurca tablet ortaya çikarilmiştir. Bu belgeler, Anadolu'nun Eskiçağ tarihinin aydı nlatı lnıası nda son derece önemli kaynaklardı ri. Kültepe'de ele geçen tabletler arasinda kurum ve wabartumları n çeşitli konularda yazışmalar yaptı kları na dâir bir çok belge bulunmaktadı r. Bu metinler, genellikle Asur'dan merkez Kanis- kärumuna yazilmiş talimatları n diğer karu,n ve wabartumlara iletilmesi hakkı ndadı r2. Bu yazışmalarda merkez kurum çoğunlukla habercilerini (siprum)3 muhatap almaktadı r. Kärum-dâiresi herhalde, Anadolu'daki çeşitli şehirlerle sı kı ticarî bağlantilari olan itibarli tüccarlar arasindan haberciler veya bazi elçiler belirleyerek, ticarî ve idari konulardaki yeni gelişmeleri ve düzenlemeleri, ilgili kurum ve şahı slara duyurmaktaydı . Habercilerin, kurumdaki kazı larda ortaya çikarilan bazi işyeri sahipleriyle ayni ismi taşıyor olmaları, bu kimselerin ayni zamanda birer tüccar olarak ticarî hayatta yer aldıkları na işaret etmektedir. Bu noktada sorun, kurum-dâiresine âit
belgelerin neden tüccarları n arşivlerinde ele geçtiğidir.4"
data\input_pdfs\Albayrak_2008_AOF 35-1_The Topynym Balihum in the Kültepe Texts.pdf	2	Kt. c/k 922 3.7 × 4.4 × 1.4 cm. Light Brown Obv. 1 um-ma Ú-sà-num-ma a-na Ú-s. ú-ur-sˇí-Isˇtar ù Li-ip-ta-nim qí-bi-ma síg.hi.a qá-tí 5 lu sˇa Ba-li-hi lu sˇa Lu-hu-za-tí-a / a-na En-na-nim dumu A-bi-a dí-na-ma L. Edge ù ì.gisˇ qá-tí a-na sˇí-mì-im dí-na Rev. 10 2/3 ma-na 6 2/3 gín kù.babbar sˇa é kà-ri-im lá-ap-ta-ku-ni sˇu-ma 1 ma-na kù.babbar isˇ-ta-pu-ku mu-lá kù.babbar Li-ip-ta-num 15 li-dí-ma a-na-ku i-na
data\input_pdfs\Albayrak_2008_The Toponim Balihum..Altorientalische Forschungen.pdf	4	Kt. c/k 944 3.2 × 4.0 × 1.3 cm. Cream-colored Obv. 1 um-ma Ú-sà-num-ma a-na Li-ip-ta-nim qí-bi-ma ásˇ-pu-ra-kum um-ma a-na-ku-ma 5 lu síg hi.a lu ma-ásˇ-ki-kà lu sˇa Ba-li-hi lu sˇa Lu-hu-za-tí-a / a-na I-na-ar-me-e L. Edge dí-in síg hi.a Rev. 10 lu sˇa Ba-li-hi lu sˇa Lu-hu-za-tí-a a-na En-na-nim dumu A-bi-a dí-in a-na gémetim sˇa En-na-nim 15 qí-bi-ma síg.hi.a li-il5-qé-ú
data\input_pdfs\Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf	12	"5 ma-na KÙ.BABBAR øa-ru-pá-am
ni-is-ha-sú DIRI
ša-du-a-sú ša-bu ku-nu-ki
ša tám-<kà>-ri-im / A-šur-i-dí DUMU Sú-e-a a-na a-limki
a-øé-er ru-ba-tim DUMU.SAL
E-lá-li ù Ú-zi-pí-ìš-ki-im
ú-[bi]-{il5} IGI [A-šur]-na-da ša na-pá-hi
IGI Da-[g]a-ni-a-a
ay. 10 iš-tù [ha-mu]-uš-tim
ša A-šur-i[-mì-tí ú] A-mur-Ištar
ITU.KAM qá-ra-a-[tim l]i-mu=um
Sà-li-a DUMU [Ša-ba]-ku-ra-nim
i-té-er-tí tám-k[à-r]i-im
15 bé-el KÙ.BABBAR a-n[a-ku (X)]-me-e-ú-me-e
lá ta-pá-tí-a a-na DAM.QARim
ke-nim a-na AN.NAim
a-na
ITU.5.KAM ù ITU.6.KAM
dí-na-ma i-ma-hi-ir
ük. 20 i-za-zu AN.NA 1 GÍNšu
le-li-a-am ù æup-pu-šu
lu-up-ta-ma
sk. ù té-er-<< tí >>-ta-ak-nu
li-li-kam 1 1⁄2 GÍN KÙ.BABBAR
25 a-ru-ba-tim na-ší 1 GÍN a-na
ni-qí-šu a-dí-in"
data\input_pdfs\Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf	13	"5 ma-na KÙ.BABBAR øa-ru-pá-am
ni-is-ha-sú DIRI
ša-du-a-sú ša-bu ku-nu-ki
ša tám-<kà>-ri-im / A-šur-i-dí DUMU Sú-e-a a-na a-limki
a-øé-er ru-ba-tim DUMU.SAL
E-lá-li ù Ú-zi-pí-ìš-ki-im
ú-[bi]-{il5} IGI [A-šur]-na-da ša na-pá-hi
IGI Da-[g]a-ni-a-a
ay. 10 iš-tù [ha-mu]-uš-tim
ša A-šur-i[-mì-tí ú] A-mur-Ištar
ITU.KAM qá-ra-a-[tim l]i-mu=um
Sà-li-a DUMU [Ša-ba]-ku-ra-nim
i-té-er-tí tám-k[à-r]i-im
15 bé-el KÙ.BABBAR a-n[a-ku (X)]-me-e-ú-me-e
lá ta-pá-tí-a a-na DAM.QARim
ke-nim a-na AN.NAim
a-na
ITU.5.KAM ù ITU.6.KAM
dí-na-ma i-ma-hi-ir
ük. 20 i-za-zu AN.NA 1 GÍNšu
le-li-a-am ù æup-pu-šu
lu-up-ta-ma
sk. ù té-er-<< tí >>-ta-ak-nu
li-li-kam 1 1⁄2 GÍN KÙ.BABBAR
25 a-ru-ba-tim na-ší 1 GÍN a-na
ni-qí-šu a-dí-in"
data\input_pdfs\Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf	3	Vs. 1 3 ma-na 15 GÎN KÙ.BABBAR ù 25 na-ru-uq sÀ 7 na-ru-uq ar-sa-tum si-mi-su Pé-ru-wa 5 a-na Su-pi-ib-ra a-bi-su ù um-mi-su i-di-in is-tù u4-mi-im a-ni-im a-na Pé-ru-wa a-bu-§u 10 ù um-mu-su u.K. ù a-hu-§u lâ i-tù-ru-§u-um Rs. su-ma i-tù-ru-su-um 10 ma-na KÙ.BABBAR a-na Pé-ru-wa i sa qu lu 15 su-ma Pè-ru-wa a-na a-bi4-su um-mi-su i-tù-wa-ar 10 ma-na KU.BABBAR i-sa-qal su-ma a-hu-um a-na 20 ahiimitùar° i-na i-di-ni-im i-du-ku-su o.K. IGI Ta-li-a IGI 25 IGI Pè-ru-wa IGI Lâ-ba-ar-sa IGI Wa-âs-hu pâ IGI Ku-nu-wa-an'
data\input_pdfs\Adams_1982_Property_Rights.PDF	3	"2. ADAMS: Property Rights
,change and hence recognizes that no society can remain a smoothly function-
ing, timeless equilibrium.
To make ancient principles of property most salient in the study of class 
stratification is, I suggest, to risk losing sight of the changing complexit-
ies of historical reality by following normative definitions that may have a
trajectory of their own. Diakonoff's upper stratum (and the stale institut-
ions with which it must have come into being in an interactive process) in-
deed found it expedient to codify and cite prescriptive principles. Much 
less clear, however, is how widely and uniformly such principlen ever pre-
vailed. Taken for granted in both private and official transactions was a
wider context of social relationships that surely alwys exercised an impor-
tant, often decisive influence on their outcome. Recorded rights and obli-
gations were only parts of a much larger spectrum of relationships that was 
mostly not recorded, selected according to criteria that were never made ex-
plicit. As Miguel Civil has recently put it,
...il y a des renseignements, souvent essentiels pour la solution de 
nos problèmes, qui ne figurent pas dans les textes non parce qu'ils 
n'étaient point perçus par les scribes mais tout au contraire parce 
qu'ils étaient trop connus des scribes.... Une conclusion assez 
pessimiste s'impose: plus un fait culturel se situr près du noyau
central d'activités humaines, moins il y à de chances qu'il apparaisse 
dans les textes. 2
What is perhaps most importantly and pervasively missing is an acknowledge-
ment of the relative power, extending far beyond any specific relationship 
or transaction, of members of social elites to impose treir will on infer-
ior social segments or even on one another. Lacking this, all too often
discouragingly little can be said in other than stereotypical terms about 
the attribution of motives to actions, and hence about the interplay and 
selection between alternatives. And without this, little real social depth
can be detected, leaving us with testimony more pertinent to the elaboration 
of a series of stylized chronicles than to history as an interpretive and 
explanatory undertaking.
One approach to overcoming these difficulties proceeds primarily from the 
analysis of variant practices and terminology directly attented to within 
the textual corpus. Ultimately Assyriologists will no doubt overcome many
present ambiguities in this fashion, of course to some extent depending on 
the recovery of more and more broadly representative bodies of documentary 
evidence. But much more problematical is a determination of the role of
the largely silent mass of Diakonoff's lower social strata from purely docu-
mentary sources. Archaeological data is potentially more helpful in this 
respect, although the potential will not be realized until this is more wide-
ly acknowledged among my archaeological colleagues as a central responsibil-
ity. But also of some slight help can be a consideration of the conditions
of life and forms of association of the working agricultural population of 
other places as well as periods, in order to take advantage of types of docu-
mentation for which there is as yet no cuneiform parallel.
Let us first briefly consider the frequently associative character of 
peasant village agricultural holdings, which are not neccesarily to be iden-
tified with the more formal, state-recognized features of land tenure sys-
tems. The classic form of communal systems of this type, at least in terms
of its recognition and intensive study by historians, is the ""open field"" 
village agriculture that, together with the manorial domains exercising con-"
data\input_pdfs\Alexander, Robert L. - Native Group Cylinder Seal Engravers of Karum Kanish Level II. Belleten 43 (171-172), 1979 573-618.pdf	5	"Individual engravers reacted in different ways to this variety of
styles. Some imitated the subject matter, form, and style of imported
work, producing the provincial Babylonian, provincial Assyrian, ~nd
Syro - Cappadocian cylinders. Occasional pieces, indeed, show vaned
combinations of the different sources. With time and understanding,
new compositions were created, unlike those of Mesopotamia and
Syria. A genuine native style did not develop, however, until designers
grasped the nature of the cylinder seal, mastered its design problems,
and introduced Anatolian themes and motifs.
The strong Anatolian tradition of stamp seals continued its own
development in the early second millennium and contributed to the
history of the native group of cylinders. It possessed a vocabulary of
masks, such animals as the stag, birds, including the spread eagle,
isolated bird and animal heads on long necks; vessels of different
types; geometrical designs of diagonals,rectilinears, and spirals; and

radial patterns. The fitting of these elements onto the square, rec-
tangular, and circular stamps nourished not only a strong control of

design, but also an interest in patterns and textures based on line
rather than on representation.
Other forms of Anatolian art of the third and early second
millennia comprised a final element in the background of the native
group of cylinder seals. Of great importance was the prominent use of

metal in figurines and small sculpture, such as the standards and fur-
nishings of the royal graves of Alaca Hiiyiik. Bronze was basic and

was used lavishly, but silver, gold, and lead occurred. Geometric pat-
terns, including mazes, chevrons, zig - zags, concentric circles, formed

some standards, covered vessels, and were applied to animal and
and human figurines. Even the ceramic ware of Level II acquired
flaring shapes, sharp arrises, and other elements carried over from
metal vessels. Native iconography employed the stag, as well as the
bull, as a very important element. Statuettes of the human figure, in
a simple frontal pose with arms across the body, occasionally showed
touches of realism, but, with the marble idols of Kiiltepe, also moved
toward abstraction, especially in the emphasis on linear textures.
Characteristics of the Anatolian cylinder seals have been defined
by a number of scholars. Chief among these is the texture created by

CLINDER SEAL ENGRAVERS 577
parallel striations across figures and animals, without much regard for
anatomical structure, and indeed, even as a substitute for modeling
and detailing. These striations tend to become patterns, occasionally
curvilinear, often herringbone. Compositions acquire a schematic
quality that has been compared to the use of squared graph paper as
the basis for design. Figures are stiffer than those in Mesopotamian
work. There are irregularities in sizes and proportional relationships
of figures and objects represented, along with a tendency toward
superposition, as though the engraver wished to squeeze more subject
matter into the limited space. Fillers, too, are numerous and increase
the density of the surface enrichment. Most subject matter derives

from foreign sources, for example, the ritual scene. Some motifs under-
go Anatolian development; the Syrian god over his animal (usually

the weather - god over a bull) is multiplied to become a row of mounted
deities; the Anatolian hunt - god, with a bird and dangling animal
in his outstretched hand, a shouldered weapon in the other, developes

from a figure of the Third Dynasty of Ur. The Neo - Sumerian intro-
ducing goddess and the Old Babylonian suppliant goddess appear,

but more common is the Anatolian interceding deity, probably
male, with both hands held out before the face. The bull altar with
cone, however, has no Mesopotamian parallels. The stag, used not
infrequently, is certainly owed to Anatolian tradition, as is the frequent
use of animals. The rich iconography of Level II seal impressions
deserves ext.ended study, and will be discussed in this paper only
when pertinent to the definition of individual engravers. Technical

and formal characteristics are the bases for the detailed study under-
taken here."
data\input_pdfs\Alexander, Robert L. - Native Group Cylinder Seal Engravers of Karum Kanish Level II. Belleten 43 (171-172), 1979 573-618.pdf	6	"Individual engravers reacted in different ways to this variety of
styles. Some imitated the subject matter, form, and style of imported
work, producing the provincial Babylonian, provincial Assyrian, ~nd
Syro - Cappadocian cylinders. Occasional pieces, indeed, show vaned
combinations of the different sources. With time and understanding,
new compositions were created, unlike those of Mesopotamia and
Syria. A genuine native style did not develop, however, until designers
grasped the nature of the cylinder seal, mastered its design problems,
and introduced Anatolian themes and motifs.
The strong Anatolian tradition of stamp seals continued its own
development in the early second millennium and contributed to the
history of the native group of cylinders. It possessed a vocabulary of
masks, such animals as the stag, birds, including the spread eagle,
isolated bird and animal heads on long necks; vessels of different
types; geometrical designs of diagonals,rectilinears, and spirals; and

radial patterns. The fitting of these elements onto the square, rec-
tangular, and circular stamps nourished not only a strong control of

design, but also an interest in patterns and textures based on line
rather than on representation.
Other forms of Anatolian art of the third and early second
millennia comprised a final element in the background of the native
group of cylinder seals. Of great importance was the prominent use of

metal in figurines and small sculpture, such as the standards and fur-
nishings of the royal graves of Alaca Hiiyiik. Bronze was basic and

was used lavishly, but silver, gold, and lead occurred. Geometric pat-
terns, including mazes, chevrons, zig - zags, concentric circles, formed

some standards, covered vessels, and were applied to animal and
and human figurines. Even the ceramic ware of Level II acquired
flaring shapes, sharp arrises, and other elements carried over from
metal vessels. Native iconography employed the stag, as well as the
bull, as a very important element. Statuettes of the human figure, in
a simple frontal pose with arms across the body, occasionally showed
touches of realism, but, with the marble idols of Kiiltepe, also moved
toward abstraction, especially in the emphasis on linear textures.
Characteristics of the Anatolian cylinder seals have been defined
by a number of scholars. Chief among these is the texture created by

CLINDER SEAL ENGRAVERS 577
parallel striations across figures and animals, without much regard for
anatomical structure, and indeed, even as a substitute for modeling
and detailing. These striations tend to become patterns, occasionally
curvilinear, often herringbone. Compositions acquire a schematic
quality that has been compared to the use of squared graph paper as
the basis for design. Figures are stiffer than those in Mesopotamian
work. There are irregularities in sizes and proportional relationships
of figures and objects represented, along with a tendency toward
superposition, as though the engraver wished to squeeze more subject
matter into the limited space. Fillers, too, are numerous and increase
the density of the surface enrichment. Most subject matter derives

from foreign sources, for example, the ritual scene. Some motifs under-
go Anatolian development; the Syrian god over his animal (usually

the weather - god over a bull) is multiplied to become a row of mounted
deities; the Anatolian hunt - god, with a bird and dangling animal
in his outstretched hand, a shouldered weapon in the other, developes

from a figure of the Third Dynasty of Ur. The Neo - Sumerian intro-
ducing goddess and the Old Babylonian suppliant goddess appear,

but more common is the Anatolian interceding deity, probably
male, with both hands held out before the face. The bull altar with
cone, however, has no Mesopotamian parallels. The stag, used not
infrequently, is certainly owed to Anatolian tradition, as is the frequent
use of animals. The rich iconography of Level II seal impressions
deserves ext.ended study, and will be discussed in this paper only
when pertinent to the definition of individual engravers. Technical

and formal characteristics are the bases for the detailed study under-
taken here."
